english,indonesian
over,
own,
pack,
pain,sakit
paint,
pair,
pants,celana
paper,kertas
parents,
park,taman
part,bagian
party,
pass,
past,
pause,
pay,membayar
people,orang-orang
perfect,
perhaps,mungkin
person,orang
phone,
pick,
picture,
piece,
pink,
piss,
place,teman
plan,
play,bermain
please,tolong
pocket,kantong
point,
police,
pop,
position,
possible,
power,daya
practically,
present,
press,
pretend,
pretty,
probably,
problem,masalah
promise,
pull,menarik
punch,pukul
push,
put,
question,tanyaan
quick,cepat
quickly,
quiet,diam
quietly,diam-diam
quite,
race,
rain,hujan
raise,
ran,
rang,
rather,
reach,
read,membaca
ready,siap
real,
realize,
really,
reason,
recognize,
red,merah
relationship,
relax,santai
remain,
remember,ingat
remind,
repeat,ulang
reply,
respond,
rest,istrahat
return,kembali
ride,naik
right,kanan
ring,
road,jalan
rock,
roll,
room,kamar
rose,
round,
rub,
run,
rush,
sad,sedih
safe,selamat
said,bilang
same,sama
sat,
save,
saw,
say,bilang
scare,
school,sekolah
scream,
search,mencari
seat,temap duduk
second,kedua
see,
seem,
seen,
self,
send,mengirim
sense,
sent,
serious,
seriously,
set,
settle,
seven,tujuh
several,
shadow,
shake,ular
share,
she,dia
she'd,
she's,
shift,
shirt,kemeja
shit,
shock,
shoe,
shook,
shop,toko
short,pendek
shot,
should,
shoulder,
shouldn't,
shout,
shove,
show,
shower,
shrug,
shut,
sick,sakit
side,
sigh,
sight,
sign,
silence,
silent,
simply,
since,
single,
sir,
sister,
sit,
situation,
six,
skin,
sky,
slam,
sleep,
slightly,
slip,
slow,lelah
slowly,
small,kecil
smell,mencium
smile,
smirk,
smoke,asap
snap,
so,jadi
soft,
softly,
some,
somehow,
someone,
something,
sometimes,
somewhere,
son,
song,
soon,
sorry,
sort,
sound,
space,
speak,berbicara
spend,
spent,
spoke,
spot,
stair,
stand,berdiri
star,binatang
stare,
start,mulai
state,
stay,
step,
stick,
still,masih
stomach,
stood,
stop,berhenti
store,
story,cerita
straight,lurus
strange,
street,jalan
strong,kuat
struggle,
stuck,
student,murid
study,belajar
stuff,
stupid,bodoh
such,
suck,
sudden,
suddenly,tiba-tiba
suggest,
summer,musim panas
sun,mata hari
suppose,
sure,
surprise,
surround,
sweet,manis
table,meja
take,mengambil
taken,
talk,bicara
tall,tinggi
teacher,guru
team,
tear,
teeth,gigi
tell,
ten,sepuluh
than,daripada
thank,termia kasih
that,yang
that's,
the,
their,
them,mereka
themselves,
then,lalu
there,"di situ, di sana"
there's,
these,
they,mereka
they'd,
they're,
thick,
thing,
think,pikir
third,ketiga
this,ini
those,
though,
thought,
three,tiga
threw,
throat,
through,
throw,
tie,
tight,
time,"pukul, waktu"
tiny,
tire,ban
to,ke
today,hari ini
together,bersama
told,
tomorrow,besok
tone,
tongue,
tonight,malam ini
too,terlalu
took,
top,
totally,
touch,
toward,
town,
track,
trail,
train,kerita api
tree,pohon
trip,
trouble,
trust,
truth,
try,coba
turn,belok
TV,
twenty,dua puluh
two,dua
type,tipe
uncle,
under,di bawah
understand,mengerti
until,sampai
up,ke atas
upon,pada
us,kami
use,
usual,
usually,
very,
visit,
voice,
wait,mengunggu
wake,banun
walk,jalan kaki
wall,
want,mau
warm,hangat
warn,
was,
wasn't,
watch,
water,
wave,
way,
we,kami
we'll,
we're,
we've,
wear,pakai
week,"pekan, minggu"
weird,aneh
well,
went,
were,
weren't,
wet,basah
what,apa
what's,
whatever,
when,"kapan, ketika"
where,di mana
whether,
which,yang
while,
whisper,
white,putih
who,siapa yang
whole,
why,mengapa
wide,lebar
wife,istri
will,akan
wind,angin
window,jendela
wipe,
wish,harap
with,dengan
within,
without,
woke,
woman,wanita
women,wanita-wanita
won't,tidak akan
wonder,
wood,
word,kata
wore,memakai
work,bekerja
world,
worry,
worse,lebih buruk
would,akan
wouldn't,
wow,kayu
wrap,
write,menulis
wrong,salah
yeah,
year,tahun
yell,
yes,ya
yet,
you,"akan, kamu"
you'd,
you'll,
you're,
you've,
young,muda
your,
yourself,
