Word	Definition	Part of speech	Category	Example sentence	Notes
nakal	naughty	adjective	social		
namun	however/ yet	conjunction	grammar		
nanti	later	noun	time		
nari	dance	verb	social		
nasib	luck, fortune	noun	social	Nasib saya sangang beruntung	
nasihat	advise, tells	verb			
negara	country	noun	travel	Saya pergi negara lain	
nelayan	fisherman	noun	boating		
nggak, gak	no				casual and common
nih	here	noun			
nomor	number	noun			
nonton	watch (a movie)	verb			
nuno	nanik's dog	proper noun			
nusa	homeland	noun	travel		
nyamuk	mosquito	noun	animals		
nyata	real, realistic	adjective			
nyebrang	crossing	verb	travel		
nyegarkan	refresh	verb			
nyeker	bare feet	noun	body		
obat	medicine	noun	health		
olahraga	sport, athletics	noun	sport		
oli	motor oil	noun	travel		
omong-omong	by the way	conjunction			
orang	person	noun			
otak	brain	noun	body		
otot	muscle	noun	body		
oven	oven	noun	home		
pacar	boyfriend, girlfriend	noun	social		
pada	on, in, at	preposition	grammar		
padat	conjested, dense	adjective	travel	lalu lintusnya padat	
pagar	fence	noun	home		
pagi	morning	noun	time		
paha	thigh	noun	body		
paham	understand	verb			
pahit	bitter	adjective	food		
pak	father	noun	family		
pakai	wear/ use	verb			
pakaian	clothes	noun	clothing		
pakan	feed	verb	animals		For animals
paku	nails	noun	body		
paling	most/ extreme/ very last	adjective			
paling mahal	the most expensive	adjective	shopping		
paman	uncle	noun	family		
pamit	farewell	verb			
panas	hot	adjective	weather		
panci	pot, pan	noun	kitchen		
pandai	clever	adjective			
panggil	call	verb	social	Panggil saya!	
panjang	long	adjective			
pantai	beach	noun	nature		
panti asuhan	orphanage	noun			
panti jompo	nursing house	noun			
papan	board, plank	noun			
parah	critical, very bad	adjective			
paruh	beak	noun	animals		
pas	just right	adjective			
pasang	put, install	verb	jacl	pasang kemeja	
paskah	Easter	noun			
pasti	certain/ surely	adjective			
patuh	obey	verb			
patuhilah	obey	imperitive			
patung	statue	noun			
pawai	parade	noun	social		
payang	umbrella	noun	weather		
pedagang	trader	noun	work		
pedahal	meanwhile	conjunction	grammar		
pedas	spicy, hot	adjective	food		
pegawai	employee	noun	business		
pegulat	wrestler	noun	sport		
pekan	week	noun	time		
pekerjaan	job	noun			
pekir	think	verb	business		
pelabuhan	harbour	noun	travel		
pelarajan	lesson	noun	study		
pelatihan	excercise, practice	noun	study		
pelayan	servant	noun	business		
pelayan makanan	waiter	noun	business		
pelayan toko	shop keeper	noun	business		
pelayanan	service	noun	shopping		
pemakaman	funeral	noun	social		
pemasukan	income	noun	business		
pembalap	racer	noun	sport		
pembeli	buyer	noun	business		
pembelian	a purchase	noun	shopping		
pembicara	speaker	noun	social		
pembukaan	opening, unveiling	noun			
pemilihan	election	noun			
pemilik	owner	noun			
pemimpin	leader	noun			
penari	dancer	noun	arts		
pencuri	thief	noun			
pendapat	opinion	noun			
pendapatan	income	noun	business		
pendek	short (time and distance)	adjective			
pendidikan	education	noun	study		
pendirian	faith in myself, confidence	verb	social		
peneliti	researcher	noun	business		
pengacara	lawyer	noun	business		
pengadilan	law court	noun			
pengasuh	babysitter	noun			
penggambar	drawer	noun			
pengganti	replacement	noun			
penghasilan	income	noun	money		
penginapan	inn	noun	travel		Not hotel, like Gustos place
penjahit	sewer	noun	work		
penjual	seller	noun	business		
penjudi	gambler	noun			
pentas	stage	noun	music		
penting	important	adjective			
penuh	full	adjective	travel		
penulisan	spelling	adjective			
penyanyi	singer	noun	music		
penyerangan	attack	noun			
perahu	boat	noun	boating		
peralatan	equipment	noun			
perang	war	noun			
perasaan	feeling	noun			
perawat	carer, nurse	noun			
perbaba	different	adjective			
perbandingan	difference	noun			
perbatasan	border	noun	travel		
perbedaan	difference	noun			
perbuatan	behaviour	noun	social	Perbuatan suami dia sangat buruk	
percakapan	conversation, dialogue	noun			
percayai	trust	verb		Saya percayai kamu	Pronounced per-chai-i-ee
perduli	care				
perempatan	four way junction	noun	travel		
perempuan	female	adjective	social		
pergang	hold	verb			
pergantian	replacement	noun			
pergelangan kaki	ankle	noun	body		
pergelangan tengang	wrist	noun	body		
pergi	go	verb	travel		
perjabat	offical	noun	government		
perjalanan	trip/ journey	noun	travel		
perkembangan	progress, development	noun			
perkerja	worker	noun			
perkerjaan	working	verb	activities		
perlawanan	resistance	noun			
perlombaan	competition	noun			
perlu	need	noun			
perlukis	painter	noun	business		
permainan	game	noun	jacl		
permanas	heater	noun	home		
permen	candy	noun	food		
pernah	once, ever	adverb		Tidak pernah	
pernari	dancer	noun	social		
perpustakaan	library	noun			
persahabatan	friendship	noun	social		
persimpangan	junction	noun	travel		
pertahanan	defenence	noun			
pertandingan	match, competition, game	noun	sport		
pertanyaan	question	noun			
pertarungan	fight	noun			
pertigaan	three way junction.	noun	travel		
pertinju	boxer	noun	sport		
pertunjukan	performance	noun			
perubahan	change	noun			
perut	stomach	noun	body		
pesan	message	noun	social		
pesawat	plane	noun	travel		
petang	late afternoon	noun	time		
petani	farmer, gardener	noun	business		
petarung	fighter	noun			
pijat	massage	noun	massage		
pikir	think	noun			
pikiran	mind	noun			
pilihan	choice	noun			
pimpinan	boss, team leader	noun	business		
pindah / geser	move a bit	verb			
pinggir	edge	noun			
pinjam	borrow	verb			
pintar	smart, clever	adjective			
pintu	door	noun	home		
pintu geser	sliding door	noun	home		
pipi	cheek	noun	body		
pisah	separate	adjective			
pisang	banana	noun	food		
pisau	knife	noun	kitchen		
pohon	tree	noun	plants		
polisi	police	noun	business		
ponontong	viewer / audience	noun			
porsi	portion	noun			
pos	postal	adjective			
posisi	position, rank	noun	business		
potong	cut	verb			
prajurit	soldier	noun	business		
prankiraan cuaca	weather forecast	noun	weather		
pria	man	noun	family		
produk	product	noun	business		
profesi	profession	noun	business		
pukul	punch	verb			
pukul	o'clock	noun	time		
pula	also	adverb			
pulau	island	noun	nature		
pulpen	fountain pen	noun			
pun	even, also	adverb			
puncak	peak, summit	noun	nature		
punggung	back	noun	body		
punya	have	verb			
pura	temple	noun	religion		
pura-pura	pretend				
purna	full	adjective			
pusaka	heirloom	noun			
pusat	centre	adjective			
putar	turn	verb			
putaran	round, revolution	noun			
putih	white	adjective	colours		
putri	daughter	noun	family		
puturan	round, cycle	noun			
putus	separated/ broken (like a piece of string)	adjective			
putus-putus	breaking up (bad phone connection)	verb			
putuskan	decided	adjective			
rabu	wednesday	noun	time		
ragu	uncertain	adjective			
rajin	diligent	adjective			
ramah	friendly	adjective	social		
ramai	noisy	adjective			Pronounced ramee
rambut	hair	noun	body		
rancananya	the plan	noun	business		
ransel	backpack	noun	camping		
rapat	meeting	noun	business		
rasa	flavour	noun	food		
ratus	one hundred	adjective	numbers		
rawa	swamp	noun	nature		
rebus	boiled	adjective	food		
recanakan	plan	noun	business		
reda	subside/ blow over	verb			
rekan	colleague	noun	business		
rembulan	moon	noun			
rencana	plan	noun	business		
renyah	crunchy	adjective	food		
resah	worried	adjective	social		
resmi	formal / official	adjective	business		
ribu	one thousand	adjective	number		
ringan	light (not heavy)	adjective			
rok	skirt	noun	clothing		
ruang	room	noun	home		
ruang keluarga	family room	noun	home		
ruangan	room	noun	home		(None)
rubanya	apparently				
rujak	fruit salad	noun	food		
rumit	complicated	adjective			
rumput	grass	noun	nature		
rupanya	apparently	conjunction			
saat	when, at that moment	noun	time	saat itu	in the past
sabtu	saturday	noun	time		
sabun	soap	noun	bathroom		
sagara	sea (balanese)	noun			
sahabat	friend	noun	social		
saja	just	adverb			
saju	snow	noun	nature		
sakit	painful, sick	adjective	health		
sakti	magic, sacred	adjective			
salah	wrong	adjective			
salalu	always	adverb			
sama	same				
sambal	chilli sauce	noun	food		
sampah	rubbish/ trash	noun			
sampai	until/ arrive				
sampai besok	until tomorrow!				
sampai nanti	see you later				
sampo	shampoo	noun	bathroom		
sana	there out of sight				
sana-sana	go away	verb			
sangat	very	adjective		sangat bagus	
sapu	broom	noun	home		
sapu ijuk	palm family (softer for indoor)				
sapu lidi	broom made from cocunut bone.				
sarang	attack	verb			
sarapan	breakfast	noun	food		
satu	one	noun	numbers		
satu bungkus	one packet	noun			
satu kali	one time				
satu lagi	one more				
satwa	animals	noun	animals		
saudara	brother	noun	family		
saudari	sister	noun	family		
sawah	rice field	noun			
saya	I, me	noun	social		
sayang	darling, dear	noun	social		
sayur	vegetables	noun	food		
sebab	cause	noun			
sebagai	as			Kamu sebagai apa?	
sebaiknya	should	adverb	social		
sebaliknya	conversely	conjunction	grammar		
sebelah	adjacent	preposition			
sebelum	before	adjective	time		
sebenarnya	actually	adverb			
sebentar	a moment/ not for long time.	nount	time		
sebut	say	verb	jacl		
secara	in a way	preposition			
sedadung	going	adjective			
sedang	currently	adjective	time		
sedankan	meanwhile	conjunction			
sederhana	simple	adjective			
sedia	ready	adjective	massage		
sedih	sad	adjective	social		
segala	all, everything	adjective			
segar	fresh	adjective			
segera	quickly, soon	adverb			
seharihari	daily	adverb			
seharusnya	should	adverb	social		
sehat	well, healthy	adjective	health		
sehingga	so that/ so as	conjunction	grammar		
sehurusnya	should/ supposed to	conjunction	grammar		
sejuk	cool	adjective			
sekali	very or one time	adjective			
sekali lagi	once again (say again)	verb			
sekarang	now	noun			
sekitar	around	preposition			
sekolah	school	noun	study		
selai	jam	noun	food		
selain	besides, except	preposition	grammar		
selalu	always/ all the time	adverb			
selama	during, as long as	preposition			
selamanya	forever	adverb			
selancar	surfing	verb	activities		
selasa	tuesday	noun	time		
selatan	south	noun	travel		
seledri	celeri	noun	food		
selesai	finished, completed	adjective			
seluruh	all over/ everywhere				
semangat	spirit	noun			
sembarangan	hapzarardly, carelessly	adjective			
sembuh	healed, recovered	verb	health		
sementara	temporary	adjective			
semi	spring (not cold nice)				
semoga	hope, hopefully, ish	adverb		Semoga selamat di jalan	
sempurna	perfect	adjective			
semua	all	adjective			
semuanya	all, everything	pronoun	jacl		
senang	happy, glad	adjective	social		
sendiri	alone	adjective	social		
sendok	spoon	noun	kitchen		
senin	monday	noun	time		
sentuh	touch	verb		Jangan sentuh sepeda motorku	
senyum	smile	noun	social		
seorang	a person	noun			
separuh	half	noun			
sepatu	shoe	noun	clothing		
seperdua	half	noun	numbers		
seperempat	quarter	noun	numbers		
seperti	example, resembles	verb			
seperti apa	such as	conjunction			
sepi	quiet	adjective			
sepiring	one plate	noun	food		
seporsi	one portion	noun	food		
seprai	bed sheets	noun	home		
serang	attack	verb	jacl		
serangan	attack	noun	social		
sering	often	adverb	time		
seringai	grin	noun	social		
serok	rake	verb			
serta	as well as	conjunction			
sesaui	match/ in accordance/ co-ordinates	adjective			
seseorang	someone	adverb			
sesua	whatever	pronoun	nanik		
sesuai	appropriate, suitable	adjective			
sesuatu	something, anything, any	pronoun			
sesudah	after	conjunction			
setelah	after	conjuncion			
setengah	half	adjective	numbers		
setiap	each, every	adjective			
setidaknya	unless	conjunction			
setrika	ironing	verb	business		
setuju	agree	verb			
sewa	rent	noun	travel		
sial	bugger (damn it)	verb	social		
siang	noon	noun	time		
siap	ready	adjective			
siapa	who	pronoun			
sibuk	busy	adjective	business		
sikat	brush	noun			
siku-siku	90 degress.	noun			
silikan	go ahead/ be my guest/ help yourself	verb	social	silikan masuk	
simpan	put, save, set	verb			
simpang	intersection	noun	travel		
sini	here	noun	travel		
sinyalnya	the signal	noun			
sip!	Okay, done deal!	interjection	shopping		
siram	water	verb			
sisa	remainder	noun			
sisat	characteristics	adjective			
situ	there	preposition			there in sight
sopan	polite	adjective			
sopir	driver	noun	business		
sore	afternoon	noun	time		Pronounced soreh
spageti	spaghetti	noun	food		
stabil	stable	adjective			
stok	supply, stock	noun			
suami	husband	noun	family		
suara	noise, voice	noun			
suasana	atmosphere	noun	social		
suasana hati	mood, state of mind	noun			
sudah	already	adverb			
sudahla	never mind				
suhu	temperature	noun	weather		
sukar	difficult	adjective			
sulit	difficult	adjective			
sungai	river	noun	nature		
supaya	cause	conjunction	grammar		
surat	letter	noun	social		
suruh	tell me, ask	verb			
surup	dropping	verb			
susah	difficult	adjective			
susu	milk				
syukurlah	thank god! (shuherla)				
tadi	just before/ earlier	adverb	time		
tahan	stand	verb			
tahu	know	verb			Don't pronounce the 'h'
tahu	tofu	noun	food		Pronounce the 'h'
tahun	year	noun	time		
tajam	sharp	adjective			
tak	not	adverb			
takdir	destiny, purpose	noun		Sudah takdir	
taktik	tactik	noun	sport		
takut	scared, afraid	adjective			
tali	plastic	adjective			
talinya	rope	noun			
taman	park		nature		
tambah	more/ plus/ becoming	verb			
tambahan	addition	adjective		Kopi ini menjadi manis dengan tambahan gula	
tambakan	add	verb			
tampan	handsome	adjective	social		
tampat duduk	chair	noun	home		
tamu	guest				
tanam	to plant (tunam)				
tanaman	plant				
tanda	sign	noun			
tanda-tanda	sign, signal, warning	noun			
tanding	match	noun	sport	Siapa yang tanging	
tanding ulang	rematch	noun	sport		
tangan	hand				
tangga	stairs	noun	home		
tanggal	date	noun		Tanggal berapa hari in	
tangkap	catch				
tanpa	without	conjunction	grammar		
tanta/ bibi/ bi	aunty				
tanya	ask	verb	social		
tapi	but				
taplak	table cloth				
tarik	take/ pull				
taring	fangs		animals		
taruh	put / keep				
tarung	fight	verb			
tawa	laughter	noun	social		
tawar	bland/ to bargin				
tearsi	shrimp past				
tekanan	pressure	noun			
telah	has				
telapak	palm or sole	noun	body		
telat	late	adjective	time		
televisi	television	noun	home		
telinga	ears	noun	body		
telur	egg	noun	food		
teman	friend		social		
teman kerja	colleague		business		
tembak	shoot	verb			
tembok	wall	noun	house		
tempat	place	noun			
tempat duduk	chair (place for sitting)				
temu	meeting	noun	social		
tenang	calm, tranquil, restful	adjective			
tengah	middle				
tengah-tengah	middle, misdt				
tengang	hand		body		
tenggara	southeast	noun	travel		
tenggorokan	throat	noun	body		
tentang	about	preposition			
tentu	certain	adjective			
tepat	appropriate	adjective			
terahkir	very last				
terang	bright, clear	adjective			
terbaik	best	adjective			
terbakar	burnt yourself	your skin			
terbang	flying	verb	travel		
terbatas	limited	adjective			
terbeli	for sale	adjective	shopping		
terbiasa	used to it/ become normal.				
tercapai	achived	adjective			
terdapat	available, there is, occur	adjective			
tergantung	depends				
tergendut	fattest of the fat people	adjective	body		
terhadap	towards	preposition			
terima	accept, receive	verb		Terima kasih	
terjadi	happen/ occur				
terjual	sold	adjective	shopping		
terkenal	famous	adjective			
terkirim	sent/ delivered	verb			
terlalu	too/ overly	adjective			
terlalu cepat	too soon	too fast.			
terlalu mahal	too expensive				
terlambat	late	adjective			
terputus	breaking up				
tersebut	mentioned	verb			
tersedia	available	adjective			
tersembunyi	hidden				
terserah	up to you				
terserahlah	up to you				
tersunum	smiling	adjective	social		
tertarik	pull	verb			
tertarik	interested	adjective	social	Saya tertarik degan burung	
tertawa	laugh	verb	social		
terung	eggplant	noun	food		
terus	straight ahead, keep going	verb	travel		
teruskan	continue	verb			
terutama	mainly	adjective			
tetangga	neighbour	noun	social		
tetap	still	adverb			
tetap diam	stay still, stationary	adverb			
tetapi	but	conjunction	grammar		
tiba	arrive	verb	travel		
tiba-tiba	suddenly	adverb			
tidak ada	none				
tidak apa-apa	nothing				
tidak makasih	no thank you.				
tidak terlalu	so so	up and down			
tidur	sleep/ nap	verb			
tiga	three	noun	numbers		
timur	east	noun	travel		
timur laut	northeast	noun	travel		
tinggal	stay, live	verb	social		
tinju	boxing	verb	sport		
tipe	type	noun			
tipu	trick	verb	social		
tirai	curtain	noun	home		
titik	spot, period!	noun			
titup	closed	adjective			
tolong	help	verb			
tomat	tomato	noun	food		
transmisi	transmission	noun	travel		
trek	truck	noun	travel		
trotoar	sidewalk	noun	travel		
tua	old	adjective	social		
tuan	sir	noun	business		
tubuh	body	noun	body		
tudi	loss, lose money on a deal	verb			
tugus	task	noun			
tuhun	year	noun	time		
tujuan	objective, purpose, goal	noun	business		
tujuh	seven	noun	numbers		
tukang	handyman	noun	business		
tukar	swap, change	verb			
tulang	bones	noun	body		
tumben	suprise				
tumbuh	growing	adjective			
tumbuhan	big plant (like a tree)	noun	nature		
tumpul	blunt	adjective			
tunangan	fiance	noun	social		
tunggu	wait	verb	massage	tunggu sebentar	
tunjuk	show	verb			
turun	down, descend	verb	travel		
uang	money	noun	business		
udang	prawn	noun	animals		
udara	air	noun	nature		
udeng	head band	noun	religion		
ulang	repeat	verb			
ular	snake	noun	animals		
umum	common, general	adjective			
umur	age	noun			
undang	invite	verb	social		
untuk	for (the purpose of)	conjunction			
untung	profit	noun	business		
untungnya	fortunately	adjective			
urutan	order, sequence, position	noun			
urutkan	unjumble	verb			
usah	need	verb	social	Tidak usah!	
usap	wipe	verb			
usia	age	noun	social		
utara	north	noun	travel		
vokal	vowel	noun			
wajah	face	noun	body		
wajan	pan	noun	kitchen		
waktu	time/ when	noun	time		
waktulah	take your time	verb	time		
waktunya bernyanyi	time to sing				
wanita	woman	noun	social		
wartawan	reporter	noun	business		
wortel	carrot	noun	food		
yaitu	specifically/ namely	conjunction	grammar	Used for emphasis	
yang	that (which)				
