Word	Definition	Part of speech	Category	Example sentence	Notes
bicara	talk, speak	verb	social		
bicaraan	conversation	noun	social		
biji	piece (seed)	noun	plants		
biji-bijian	grain	noun	animals		
bila	when	adverb			Formal
bilang	said		social		
bilangan	number, numeral	noun	numbers		
binatang	animals	noun	animals		
bingung	confused	adjective		salah satu yang saya masih bingung	
bintang	star	noun			
birbir	lips	noun	body		
biru	blue	adjective	colours		
bis	bus	noun	travel		
bisa	can	adverb			
bisa dapat	can get?				
bising	noisy	adjective			
bisnis	business	noun	business		
bli	brother (balanese)	noun	social		
bmkg	Meteorologist	noun	weather		(bee emm ka gee)
bodoh	stupid	adjective			
bohong	lie	noun	social		
bokek	poor	adjective	shopping		slang
boleh	may (as in may i)	auxilary verb	social		
bosan	bored	adjective	social		
brokoli	broccoli	noun	food		
buah	fruit (for large things)				
buang	throw away, drop, dump	verb	jacl		
buat	make	verb			
buaya	crocodile	noun	animals		
bubar	disbanded	verb			
bubur	porridge	noun	food		
bugil	naked	adjective			
bukit	hill	noun	nature		
bula mata	eye lashes	noun	body		
bulan	month, moon	noun	time		
bulat	round	adjective			
bule	white person	adjective	social		
bulu	fur	noun	animals		
bumbu	seasoning	noun	food		
buncit	fat	adjective	body		
bundar	round	adjective			
bunga	flowers	noun	plants		
buntu	dead end	noun	travel		
bunuh	kill	verb			
buruk	bad	adjective			
burung	bird	noun	animals		
butir	grain (for small (and roundish) things) - include	noun	food		
cabai	chilli	noun	food		
cakap	competitent	advjective	business		
cakap-cakap	speak	verb	social		More Malaysian
cakar	claw	noun	animals		
cantik	pretty	adjective	social		
capai	reach, achieve	verb			
capek	sleepy	adjective	social		
cara	method, way	noun		bagaimana cara membuat	
cari	search	verb			(None)
cat	paint	noun			
catatan	note, records	noun	social		
cek	check	verb			
celana	shorts, pants		clothing		
celana panjang	long pants		clothing		
celana pendek	shorts		clothing		
cepat	fast		travel		
cepek	physically tired	adjective			
cerah	sunny		weather		
cerdas	intelligent	adjective			
cerita	story	noun			
cewek	girl	noun			
cinta	love	noun			
cium	kiss / smell	verb	smell		
coba	try	verb			
cocok	appropriate, suitable	adjective	(None)	(None)	(None)
cokelat	brown	adjective	colours		
contoh	example	noun			
cuaca	weather	noun	weather		
cuci	wash	verb	business		
cuka	vinegar	noun	food		
cukup	enough	adverb			
curi	steal	verb			
dada	chest	noun	body		
daerah	region	noun	travel		
daftar	list	noun			
dagang	trade	verb	shopping		
daging	meat	noun	food		
dagu	chin	noun	body		
dahi	forehead	noun	body		
dahinya	forehead	noun	body		
dalam	inside	preposition			
dalang	master (puppet)	noun	arts		
damai	peaceful	adjective			
dan	and	conjunction	grammar		
danahu	lake	noun	nature		
danau	lake	noun	nature		
dapan	front	adjective	travel		
dapat	can	verb			Formal
dapur	kitchen	noun	home		
darah	blood	noun	body		
dari	from	preposition	travel		
daripada	than (compared to) rather than (when used alone)	conjunction	grammar		
dasar	root, base 	adjective			
datang	come	verb	travel		
datanglah	come	verb			
daun	leaf	noun	nature		
daun-daun	leaves	noun	nature		
daya	power	noun			
dekat	near/ close	adjective	travel		
delapan	eight, 8	noun	numbers		
dengang	with	conjunction	grammar		
dengar	hear	verb			
depan	front, next	adjective			
derajat	degree (celcius)	noun	weather		
deras	heavy	adjective		Hujan deras	
desa	bigger village	noun	travel		
detik	seconds	noun	time		
di bawah	under	preposition			
di dapan	in front	preposition	(None)	(None)	(None)
di mana	where	adverb			
di mana-man	everywhere	noun			
di sana	there	pronoun	travel		
dia	he or she	noun	family		
diaerah	area, region	noun	travel		
diam	stationary	adjective	travel		
dibandingkan	compared to	verb			
dibatalkan	cancelled	verb	travel		
dibatung	saved	verb		Uang saya dibatung	
dibesarbesarkan	exagerated	adverb			
dicuri	stolen	adjective	emergency		
didekat	close to	adjective			
didik	educate	verb			
dihinggapi	on (only for any insects and animals that fly)	preposition			
dilakukan	done	verb			
dimakan	eaten	verb	food		
dimana	where (statement not qeuestion)	adverb			
diminta	sought	adjective			
dinding	wall	noun			
dingin	cold	adjective	weather		
dinyanyikan	sung	verb	music		
dipakai	used	adjective			
diperiksa	checked	verb			
diperpanjang	extended	verb	business	Kontrak kerjaku diperpanjang oleh boss saya	
dipilih	picked	verb			
dipimpin	lead (past tense)	verb			
diri	self	pronoun			
diri sendiri	be myself	verb	social		
dirimu sendiri	be yourself	verb	social		
dirinya sendiri	be his self, her self, their selves	verb	social		
disebabkan	caused by	verb			
disebut	is called	verb			
ditulis	written	verb			
ditutup	covered	adjective			
diulang	repeated	verb			
dokter	doctor	noun	health		
domba	lamb	noun	animals		
dorong	push	verb			
dorongan	encouragement	verb			
dudukan	seat	noun	travel		
duduklah	sit	verb			
dugaan	guess	noun			
duina	earth, world	noun	nature		
dukungan	support, endorsement	noun			
dulu	first, or long time ago	adjective	grammar		
dungu	idiot	noun			rude
dupa	insense	adjective	social		
ekor	tail (for animals)	noun	animals		
elang	eagle	noun	animals		Pronounced ehlang
elbow	siku	noun	body		
empat	four	noun	numbers		
enak	delicious	adjective	food		
enam	six	noun	numbers		
eneh	strange	adjective	social		
es	ice	noun	food		
evil	jahat	adjective	social		
eye	mata	noun	body		
feri	ferry	noun	travel		
film	film	noun			
fungsi	function	noun			
gading	tusks	noun	animals		
gairah	passion	noun			
gajah	elephant	noun	animals		
galup	dark	adjective	time		
gambar	drawing	noun	arts		
gambaran	description, picture in mind	noun	social		
gambira	happy	adjective	social		
gampang	easy	adjective			
gang	alleyway	noun	travel		
ganggu	disturb, annoy	verb	social		
ganti	change	verb			
garam	salt	noun	food		
gari kaki	toes	noun	body		
gari tengang	finger	noun	body		
garpu	fork	noun	kitchen		
gatal	itchy	adjective	health		
gatal-gatal	itchy	adjective	health		
gaun	dress	noun	clothing		
gedung	building	noun			
gelap	dark	adjective	time		
gelas	glass, cup	noun	food		
gempa	earthquake	noun	nature		
gendut	fat (whole person)	adjective	body		
gerbang	gate	noun	home		
gigi	teeth	noun	body		
gigit	bite	verb	animals		
gong-gong	barking	verb	animals		
gosok	brush, scrub	verb	bathroom		
gratis	free	adjective	shopping		
gugur	autumn (falling down leaves/ fallen soldiers etc)	verb	time		
gula	sugar	noun	food		
gulat	wrestling	verb	sport		
gunanya	the function	noun			
gunung	mountain	noun	nature		
gunung berapi	volcano	noun	nature		
gurih	tasty	adjective	food		Not sweet, not salty
gurita	octopus	noun	animals		
guru	teacher	noun	business		
habis	finished, exhausted	adjective			
hadiah	gift, present	noun	social		
hal	matter, suff	noun			
halaman	yard	noun			
hambar	plain	bland			
hamil	pregnant	advjective	family		
hampir	almost/ nearly	adjective			
handuk	towel	noun			
hangat	warm	adjective	weather		
hangus	burnt for food.	adjective	food		
hanya	only	adverb	social	Hanya bercanda	
hapus	erase, delete	verb			
harap	hope, wish	verb	social		
harapan	wish	noun			
hari	day	noun	time		
hari ini	today	noun	time		
hari ulangtahun	birthday. (ulang - repeat)	noun	social		
harum	perfume	noun			
harus	must	adverb			
hasil	result	noun			
hati	heart or liver	noun	body		
hati-hati	be careful	verb	social		
haus	thirsty	adjective	social		
henti	stop	verb	travel		
heran	wonder	verb	social	Saya heran kalau musim hujan selasai telat karena itu mulai telat	
hewan	animals	noun	animals		
hidung	nose	noun	body		
hidup	live/ on/ start	verb			
hidupkan	turn on	verb			
hijau	green	adjective	colours		
hilang	missing	adjective	emergency		
hilir	estuary	noun	boating		
hingaggap	on (only for any insects and animals that fly)	preposition			
hingga	until	preposition			
hitam	black	adjective			
hormati	respect	verb	social	Hormati orang yang lebih tua	
hp	mobile phone (ha pay)	noun			
hubungan	relationship, connection	noun	social		
hujan	wet weather rain	noun	weather		
hulu	stream	noun	boating		
huruf	letter	noun			
hutan	forest	noun	nature		
ialah	is, namely	conjunction		Used for emphasis	
ibu	mother or older woman	noun	family		
ide	idea	noun			
ikan	fish	noun	animals		
ikut	follow	verb	travel		
impian	dream, wish	noun	social		
inap	stay	verb	travel		
indah	beautiful for things.	adjective			
ingat	remember				
ingatan	memory	noun			
inilah	here it is	grammar			
irim	send	verb			
isi	pakai	with			
istimewa	special	adjective			
istirahat	rest				
istri	wife	noun	family		
itulah	it is, that is, it's, that's	verb			
iya/ ya	yes	partical			
jabatan	position, job	noun			
jadi	so	conjunction	grammar	Kamu jadi apa?	Common as the start of a sentence
jaga	protect, guard	verb	emergency		
jagung	corn	noun	food		
jahe	ginger	noun	food		
jahit	sewing	verb			
jajan	snacking	verb	food		
jalan	road	noun	travel		
jalan kaki	walk	verb	travel		
jalan kecil	small track	noun	travel		
jalan-jalan	walkaround	verb	travel		
jalur	path	noun	travel		
jam	time, hour	noun	time		
